author,updated_at,like_count,text,public,tokens,tokens_without_slang,text_fin,sentiment
@wartakusuma7785,2023-12-24T23:45:06Z,0,gak usah repot debat lihat dia memimpin soloklu ganjar liat aja di jateng dan lihat anis di jakartabandingkan biar fakta yg berbicara,True,"['enggak', 'repot', 'debat', 'lihat', 'memimpin', 'soloklu', 'ganjar', 'lihat', 'saja', 'jateng', 'lihat', 'anis', 'jakartabandingkan', 'biar', 'fakta', 'yang', 'berbicara']","['enggak', 'repot', 'debat', 'lihat', 'memimpin', 'soloklu', 'ganjar', 'lihat', 'saja', 'jateng', 'lihat', 'anis', 'jakartabandingkan', 'biar', 'fakta', 'yang', 'berbicara']", repot debat  memimpin soloklu ganjar   jateng  anis jakartabandingkan biar fakta  berbicara,negative
@wartakusuma7785,2023-12-24T23:40:45Z,0,gibran juga gak konsisten dulu pdip sekarang kemana coba,True,"['gibran', 'enggak', 'konsisten', 'pdip', 'kemana', 'coba']","['gibran', 'enggak', 'konsisten', 'pdip', 'kemana', 'coba']",gibran  konsisten pdip kemana coba,negative
@salliss1346,2023-12-24T23:40:26Z,0,joss poraaa,True,"['joss', 'poraaa']","['joss', 'poraaa']",joss poraaa,positive
@windaps9808,2023-12-24T23:18:16Z,0,tanpa ragu pilih pak prabowo dan gibrann❤️❤️,True,"['ragu', 'pilih', 'prabowo', 'gibrann', '❤', '️', '❤', '️']","['ragu', 'pilih', 'prabowo', 'gibrann', '❤', '️', '❤', '️']",ragu pilih prabowo gibrann ❤ ️ ❤ ️,positive
@jjtutorial4748,2023-12-24T23:03:35Z,1,waduh gibran gibran bikin kacau kita ga dapat subtansinyamalah belajar cerdas cermat sibuk cari singkatan,True,"['gibran', 'gibran', 'bikin', 'kacau', 'enggak', 'subtansinyamalah', 'belajar', 'cerdas', 'cermat', 'sibuk', 'cari', 'singkatan']","['gibran', 'gibran', 'bikin', 'kacau', 'enggak', 'subtansinyamalah', 'belajar', 'cerdas', 'cermat', 'sibuk', 'cari', 'singkatan']",gibran gibran  kacau  subtansinyamalah belajar cerdas cermat sibuk cari singkatan,negative
@jjtutorial4748,2023-12-24T23:03:22Z,0,waduh gibran gibran bikin kacau kita ga dapat subtansinyamalah belajar cerdas cermat sibuk cari singkatan,True,"['gibran', 'gibran', 'bikin', 'kacau', 'enggak', 'subtansinyamalah', 'belajar', 'cerdas', 'cermat', 'sibuk', 'cari', 'singkatan']","['gibran', 'gibran', 'bikin', 'kacau', 'enggak', 'subtansinyamalah', 'belajar', 'cerdas', 'cermat', 'sibuk', 'cari', 'singkatan']",gibran gibran  kacau  subtansinyamalah belajar cerdas cermat sibuk cari singkatan,negative
@jjtutorial4748,2023-12-24T23:03:09Z,0,waduh gibran gibran bikin kacau kita ga dapat subtansinyamalah belajar cerdas cermat sibuk cari singkatan,True,"['gibran', 'gibran', 'bikin', 'kacau', 'enggak', 'subtansinyamalah', 'belajar', 'cerdas', 'cermat', 'sibuk', 'cari', 'singkatan']","['gibran', 'gibran', 'bikin', 'kacau', 'enggak', 'subtansinyamalah', 'belajar', 'cerdas', 'cermat', 'sibuk', 'cari', 'singkatan']",gibran gibran  kacau  subtansinyamalah belajar cerdas cermat sibuk cari singkatan,negative
@user-qf2vc3fp7l,2023-12-24T22:52:39Z,1,perdebatan timses di narasi ricuh banget bukannya menanggapi debat wapresnya tapi malah debat sendiri,True,"['perdebatan', 'timses', 'narasi', 'ricuh', 'banget', 'menanggapi', 'debat', 'wapresnya', 'debat']","['perdebatan', 'timses', 'narasi', 'ricuh', 'banget', 'menanggapi', 'debat', 'wapresnya', 'debat']",perdebatan timses narasi ricuh  menanggapi debat wapresnya debat,negative
@fanitayusuf-fz1gd,2023-12-24T22:52:02Z,0,timses paslon dan minimal ga usah jadi provokator semuamuanya diurusin takut banget kalah lo,True,"['timses', 'paslon', 'minimal', 'enggak', 'provokator', 'semuamuanya', 'diurusi', 'takut', 'banget', 'kalah', 'lo']","['timses', 'paslon', 'minimal', 'enggak', 'provokator', 'semuamuanya', 'diurusi', 'takut', 'banget', 'kalah', 'lo']",timses paslon minimal  provokator semuamuanya diurusi takut  kalah lo,negative
@phoneadi6869,2023-12-24T22:50:10Z,0,yg baju hitam sama aja dgn iminasal comot klo bicara😂,True,"['yang', 'baju', 'hitam', 'saja', 'dengan', 'iminasal', 'comot', 'kalo', 'bicara', '😂']","['yang', 'baju', 'hitam', 'saja', 'dengan', 'iminasal', 'comot', 'kalo', 'bicara', '😂']", baju hitam   iminasal comot  bicara 😂,negative
@alfiangamingppssppfifa9351,2023-12-24T22:25:27Z,0,siapa ini yang paslon jubirnya😂 lucu aja kalah banyak ngelesnya,True,"['paslon', 'jubirnya', '😂', 'lucu', 'saja', 'kalah', 'ngelesnya']","['paslon', 'jubirnya', '😂', 'lucu', 'saja', 'kalah', 'ngelesnya']",paslon jubirnya 😂 lucu  kalah ngelesnya,negative
@fathifathurrahman1827,2023-12-24T22:09:41Z,0,enak banget ya maju ke lawan bicaranya dengan bebas,True,"['enak', 'banget', 'ya', 'maju', 'lawan', 'bicaranya', 'bebas']","['enak', 'banget', 'ya', 'maju', 'lawan', 'bicaranya', 'bebas']",enak   maju lawan bicaranya bebas,positive
@m.vicosaptayudistira3800,2023-12-24T21:42:54Z,0,padahal pak prabowo pegang pundak itu bukan ngambil kerah bajunya,True,"['prabowo', 'pegang', 'pundak', 'ngambil', 'kerah', 'bajunya']","['prabowo', 'pegang', 'pundak', 'ngambil', 'kerah', 'bajunya']",prabowo pegang pundak ngambil kerah bajunya,neutral
@ratnaprastiwi,2023-12-24T20:59:32Z,0,kasian abang yg nerjemahin ke bahasa isyarat bingung nyari gesture slepet 😭,True,"['kasihan', 'abang', 'yang', 'nerjemahin', 'bahasa', 'isyarat', 'bingung', 'mencari', 'gesture', 'slepet', '😭']","['kasihan', 'abang', 'yang', 'nerjemahin', 'bahasa', 'isyarat', 'bingung', 'mencari', 'gesture', 'slepet', '😭']",kasihan abang  nerjemahin bahasa isyarat bingung mencari gesture slepet 😭,negative
@Aliwy85,2023-12-24T20:44:10Z,1,sudah biasa nabrak aturan,True,"['nabrak', 'aturan']","['nabrak', 'aturan']",nabrak aturan,negative
@damafantrikobar7723,2023-12-24T20:43:36Z,0,jubir dan kepanasan ya bukannya fokus menilai paslon mereka bagaimana performa dll malah sibuk nyerang nomer bahaya bahaya bahaya 😂,True,"['jubir', 'kepanasan', 'ya', 'fokus', 'menilai', 'paslon', 'performa', 'dll', 'sibuk', 'menyerang', 'nomer', 'bahaya', 'bahaya', 'bahaya', '😂']","['jubir', 'kepanasan', 'ya', 'fokus', 'menilai', 'paslon', 'performa', 'dll', 'sibuk', 'menyerang', 'nomer', 'bahaya', 'bahaya', 'bahaya', '😂']",jubir kepanasan  fokus menilai paslon performa dll sibuk menyerang nomer bahaya bahaya bahaya 😂,negative
@supriantoyusup8937,2023-12-24T20:43:31Z,0,mntp ni debat😊😊,True,"['mntp', 'ni', 'debat', '😊', '😊']","['mntp', 'ni', 'debat', '😊', '😊']",mntp ni debat 😊 😊,negative
@Aliwy85,2023-12-24T20:39:09Z,1,ternyata sekelas najwa bisa tidak objektif juga komentar nya,True,"['sekelas', 'najwa', 'objektif', 'komentar', 'nya']","['sekelas', 'najwa', 'objektif', 'komentar', 'nya']",sekelas najwa objektif komentar ,negative
@Fagina_harumi,2023-12-24T20:34:52Z,0,bocah ajaib yg diremehkan kemarenternyata bisa mvp didebat cawapres bahkan bikin double kill walaupun lawannya sekelas dr dan prof 👏👏👏,True,"['bocah', 'ajaib', 'yang', 'diremehkan', 'kemarenternyata', 'mvp', 'didebat', 'cawapres', 'bikin', 'double', 'kill', 'lawannya', 'sekelas', 'dari', 'prof', '👏', '👏', '👏']","['bocah', 'ajaib', 'yang', 'diremehkan', 'kemarenternyata', 'mvp', 'didebat', 'cawapres', 'bikin', 'double', 'kill', 'lawannya', 'sekelas', 'dari', 'prof', '👏', '👏', '👏']",bocah ajaib  diremehkan kemarenternyata mvp didebat cawapres  double kill lawannya sekelas  prof 👏 👏 👏,positive
@Aliwy85,2023-12-24T20:33:45Z,1,sgie samsul goreng iwak eeegosong,True,"['sgie', 'samsul', 'goreng', 'iwak', 'eeegosong']","['sgie', 'samsul', 'goreng', 'iwak', 'eeegosong']",sgie samsul goreng iwak eeegosong,neutral
@muntaqohasyir6499,2023-12-24T20:29:42Z,0,fadli zon dkroyok gibran dkroyok paham kan siapa yg paling gokil😂😂😂,True,"['fadli', 'zon', 'dkroyok', 'gibran', 'dkroyok', 'paham', 'yang', 'gila', '😂', '😂', '😂']","['fadli', 'zon', 'dkroyok', 'gibran', 'dkroyok', 'paham', 'yang', 'gila', '😂', '😂', '😂']",fadli zon dkroyok gibran dkroyok paham  gila 😂 😂 😂,positive
@irilgaming,2023-12-24T19:56:39Z,0,pertamanya ragu mau milih no pas nonton debat jadi yakin milih no 😊 amin,True,"['pertamanya', 'ragu', 'memilih', 'no', 'pas', 'menonton', 'debat', 'memilih', 'no', '😊', 'amin']","['pertamanya', 'ragu', 'memilih', 'no', 'pas', 'menonton', 'debat', 'memilih', 'no', '😊', 'amin']",pertamanya ragu memilih  pas menonton debat memilih  😊 amin,positive
@antojabrig9027,2023-12-24T19:54:45Z,0,apakah ada alat di belakang pinggang gibran kalo ada kira alat apa ya pada menit,True,"['alat', 'pinggang', 'gibran', 'kalo', 'alat', 'ya', 'menit']","['alat', 'pinggang', 'gibran', 'kalo', 'alat', 'ya', 'menit']",alat pinggang gibran  alat  menit,neutral
@adindaindraswari2233,2023-12-24T19:47:23Z,0,wkwkw jubir ter tenang pak fadli,True,"['wkwkw', 'jubir', 'ter', 'tenang', 'fadli']","['wkwkw', 'jubir', 'ter', 'tenang', 'fadli']",wkwkw jubir ter tenang fadli,positive
@antojabrig9027,2023-12-24T19:30:59Z,0,pada menit kira lagi mikir jawaban atau mendengarkan instruksi mungkin pakar mimik wajah bisa mengomentari,True,"['menit', 'mikir', 'mendengarkan', 'instruksi', 'pakar', 'mimik', 'wajah', 'mengomentari']","['menit', 'mikir', 'mendengarkan', 'instruksi', 'pakar', 'mimik', 'wajah', 'mengomentari']",menit mikir mendengarkan instruksi pakar mimik wajah mengomentari,neutral
@Windshearahead,2023-12-24T19:25:58Z,0,tes tes,True,"['tes', 'tes']","['tes', 'tes']",tes tes,neutral
@olaksito,2023-12-24T19:08:55Z,0,nobar ini nyambung nian dgn nazwa prabowo pd bln yg lalu buka simak lg mbak nazwa tabik,True,"['menonton bareng', 'menyambung', 'nian', 'dengan', 'nazwa', 'prabowo', 'pd', 'bulan', 'yang', 'buka', 'simak', 'lagi', 'mbak', 'nazwa', 'tabik']","['menonton bareng', 'menyambung', 'nian', 'dengan', 'nazwa', 'prabowo', 'pd', 'bulan', 'yang', 'buka', 'simak', 'lagi', 'mbak', 'nazwa', 'tabik']",menonton bareng menyambung nian  nazwa prabowo pd bulan  buka simak lagi mbak nazwa tabik,neutral
@user-me8gb5yh4v,2023-12-24T18:51:14Z,0,ttp gama,True,"['tetap', 'gama']","['tetap', 'gama']",tetap gama,negative
@bonnykariem6602,2023-12-24T18:49:42Z,0,kpu regulasi posisi debater saran pse posisi debater juga gerak bputar pada setiap sesi debat agar masing² rasa kan bada di sisititik sentra mau pun sisititik kanankiri jadi equal semua munkin wallahu alam bishawab,True,"['kpu', 'regulasi', 'posisi', 'debater', 'saran', 'pse', 'posisi', 'debater', 'gerak', 'bputar', 'sesi', 'debat', 'masing²', 'bada', 'sisititik', 'sentra', 'sisititik', 'kanankiri', 'equal', 'munkin', 'wallahu', 'alam', 'bishawab']","['kpu', 'regulasi', 'posisi', 'debater', 'saran', 'pse', 'posisi', 'debater', 'gerak', 'bputar', 'sesi', 'debat', 'masing²', 'bada', 'sisititik', 'sentra', 'sisititik', 'kanankiri', 'equal', 'munkin', 'wallahu', 'alam', 'bishawab']",kpu regulasi posisi debater saran pse posisi debater gerak bputar sesi debat masing² bada sisititik sentra sisititik kanankiri equal munkin wallahu alam bishawab,neutral
@joseptambunan4546,2023-12-24T18:08:46Z,0,kepanasan no dan no 😂,True,"['kepanasan', 'no', 'no', '😂']","['kepanasan', 'no', 'no', '😂']",kepanasan   😂,neutral
@rissaazizah6766,2023-12-24T18:05:07Z,1,prof mafud mvp debat ini,True,"['prof', 'mafud', 'mvp', 'debat']","['prof', 'mafud', 'mvp', 'debat']",prof mafud mvp debat,neutral
@rissaazizah6766,2023-12-24T18:04:24Z,0,anak muda nir attitude,True,"['anak', 'muda', 'nir', 'attitude']","['anak', 'muda', 'nir', 'attitude']",anak muda nir attitude,negative
@rissaazizah6766,2023-12-24T18:00:36Z,1,awalnya saya meragukan setelah menonton debat ini saya jadi yakin dengan keraguan saya,True,"['meragukan', 'menonton', 'debat', 'keraguan']","['meragukan', 'menonton', 'debat', 'keraguan']",meragukan menonton debat keraguan,negative
@halo20233,2023-12-24T17:42:09Z,1,mau buat strategi biar terlihat pnter pakai singkatan aseng tp blunder wkwkwkk,True,"['strategi', 'biar', 'pnter', 'pakai', 'singkatan', 'aseng', 'tapi', 'blunder', 'wkwkwkk']","['strategi', 'biar', 'pnter', 'pakai', 'singkatan', 'aseng', 'tapi', 'blunder', 'wkwkwkk']",strategi biar pnter  singkatan aseng  blunder wkwkwkk,negative
@aswanas129,2023-12-24T17:39:59Z,0,kkh,True,['kkh'],['kkh'],kkh,positive
@halo20233,2023-12-24T17:39:51Z,1,mba nana ketawanya puas bgt perkara sgie singkatan bahasa inggris tp speeling nya bahasa indo,True,"['mbak', 'nana', 'ketawanya', 'puas', 'banget', 'perkara', 'sgie', 'singkatan', 'bahasa', 'inggris', 'tapi', 'speeling', 'nya', 'bahasa', 'indonesia']","['mbak', 'nana', 'ketawanya', 'puas', 'banget', 'perkara', 'sgie', 'singkatan', 'bahasa', 'inggris', 'tapi', 'speeling', 'nya', 'bahasa', 'indonesia']",mbak nana ketawanya puas  perkara sgie singkatan bahasa inggris  speeling  bahasa indonesia,positive
@user-bv6ek4be7b,2023-12-24T17:37:21Z,0,request mbak sihab undang bang rocky sekalian😊,True,"['request', 'mbak', 'sihab', 'undang', 'bang', 'rocky', '😊']","['request', 'mbak', 'sihab', 'undang', 'bang', 'rocky', '😊']",request mbak sihab undang bang rocky 😊,neutral
@anakdaddy7537,2023-12-24T17:34:37Z,0,setuju gibran memang cerdas harusnya dia jd capresdia lebih capres daripada capresnyasetuju gak,True,"['setuju', 'gibran', 'cerdas', 'jadi', 'capresdia', 'capres', 'capresnyasetuju', 'enggak']","['setuju', 'gibran', 'cerdas', 'jadi', 'capresdia', 'capres', 'capresnyasetuju', 'enggak']",setuju gibran cerdas jadi capresdia capres capresnyasetuju ,positive
@tarsih06,2023-12-24T17:32:31Z,0,itu dimenit jam menit detik yg ngomg udah siapa ya,True,"['dimenit', 'jam', 'menit', 'detik', 'yang', 'ngomg', 'sudah', 'ya']","['dimenit', 'jam', 'menit', 'detik', 'yang', 'ngomg', 'sudah', 'ya']",dimenit jam menit detik  ngomg  ,negative
@user-ju3hm6se2w,2023-12-24T17:26:46Z,0,cakimin the real pembual tanpa data wasweswos kosong,True,"['cakimin', 'the', 'real', 'pembual', 'data', 'wasweswos', 'kosong']","['cakimin', 'the', 'real', 'pembual', 'data', 'wasweswos', 'kosong']",cakimin the real pembual data wasweswos kosong,negative
@agusdiahchanel1702,2023-12-24T17:19:28Z,0,bpk islah bahrawi sgie itu akronim bukan singkatan dan bpk harus tau cara pelafalan akronim yang benar sesuai kemendikbud itu seperti apa jangan kalau tidak tau malah ngotot main nyalah nyalahin aja ya 🙏🙏🙏,True,"['bpk', 'islah', 'bahrawi', 'sgie', 'akronim', 'singkatan', 'bpk', 'tau', 'pelafalan', 'akronim', 'sesuai', 'kemendikbud', 'tau', 'ngotot', 'main', 'nyalah', 'menyalahkan', 'saja', 'ya', '🙏', '🙏', '🙏']","['bpk', 'islah', 'bahrawi', 'sgie', 'akronim', 'singkatan', 'bpk', 'tau', 'pelafalan', 'akronim', 'sesuai', 'kemendikbud', 'tau', 'ngotot', 'main', 'nyalah', 'menyalahkan', 'saja', 'ya', '🙏', '🙏', '🙏']",bpk islah bahrawi sgie akronim singkatan bpk  pelafalan akronim sesuai kemendikbud  ngotot main nyalah menyalahkan   🙏 🙏 🙏,negative
@aditiabiring1392,2023-12-24T17:17:14Z,0,tetap nomor,True,['nomor'],['nomor'],nomor,neutral
@syafiqandira5311,2023-12-24T16:56:21Z,0,all in pak gemoy,True,"['all', 'ini', 'gemoy']","['all', 'ini', 'gemoy']",all  gemoy,positive
@imelfirosi6409,2023-12-24T16:54:10Z,0,makin yakin persen pilih prabowo gibran❤❤,True,"['persen', 'pilih', 'prabowo', 'gibran', '❤', '❤']","['persen', 'pilih', 'prabowo', 'gibran', '❤', '❤']",persen pilih prabowo gibran ❤ ❤,neutral
@amazingfilm1912,2023-12-24T16:25:58Z,0,perdesa miliar pertaun asikk bisa kaya aku,True,"['perdesa', 'miliar', 'pertaun', 'asikk', 'kayak']","['perdesa', 'miliar', 'pertaun', 'asikk', 'kayak']",perdesa miliar pertaun asikk ,positive
@TheKnoxville007,2023-12-24T16:03:17Z,0,baru ini saya bisa satu kubu sama pak fadli zon 😂😂😂 dulu benci bgt sayah 😂,True,"['kubu', 'fadli', 'zon', '😂', '😂', '😂', 'benci', 'banget', 'sayah', '😂']","['kubu', 'fadli', 'zon', '😂', '😂', '😂', 'benci', 'banget', 'sayah', '😂']",kubu fadli zon 😂 😂 😂 benci  sayah 😂,negative
@kakakboy4688,2023-12-24T15:51:40Z,1,jd polisi nyogok hasilnya buruk gmn kalo cawapres,True,"['jadi', 'polisi', 'nyogok', 'hasilnya', 'buruk', 'bagaimana', 'kalo', 'cawapres']","['jadi', 'polisi', 'nyogok', 'hasilnya', 'buruk', 'bagaimana', 'kalo', 'cawapres']",jadi polisi nyogok hasilnya buruk bagaimana  cawapres,negative
@ISYFIful,2023-12-24T15:51:16Z,1,terlihat sekali ofensif namun agak berputar penjelasannya memang terlihat mendominasi tapi kok saya tidak melihat poinnya,True,"['ofensif', 'berputar', 'penjelasannya', 'mendominasi', 'poinnya']","['ofensif', 'berputar', 'penjelasannya', 'mendominasi', 'poinnya']",ofensif berputar penjelasannya mendominasi poinnya,negative
@rizkirahmanhakimid9432,2023-12-24T15:51:02Z,0,sebenarnya yang ingin ditanya prof mahfud itu regulasi dan kekuatan hukum apa yang mau dibuat paslon agar pajak bisa full masuk apbn 😂😂😂 asli gak nyambung nih cawapres,True,"['prof', 'mahfud', 'regulasi', 'kekuatan', 'hukum', 'paslon', 'pajak', 'full', 'masuk', 'apbn', '😂', '😂', '😂', 'asli', 'enggak', 'menyambung', 'nih', 'cawapres']","['prof', 'mahfud', 'regulasi', 'kekuatan', 'hukum', 'paslon', 'pajak', 'full', 'masuk', 'apbn', '😂', '😂', '😂', 'asli', 'enggak', 'menyambung', 'nih', 'cawapres']",prof mahfud regulasi kekuatan hukum paslon pajak full masuk apbn 😂 😂 😂 asli  menyambung  cawapres,negative
@Aryantibe,2023-12-24T15:42:05Z,0,bikin udd untuk buzzer di kolom komentar seharusnya yg suka mengframing informasi,True,"['bikin', 'udd', 'buzzer', 'kolom', 'komentar', 'yang', 'suka', 'mengframing', 'informasi']","['bikin', 'udd', 'buzzer', 'kolom', 'komentar', 'yang', 'suka', 'mengframing', 'informasi']", udd buzzer kolom komentar  suka mengframing informasi,negative
@Aryantibe,2023-12-24T15:40:23Z,1,isinya buzzer semua bela aja terus pertanyaan cerdas cermat calon pengelola negara nanya kok singkatann miriss,True,"['isinya', 'buzzer', 'bela', 'saja', 'cerdas', 'cermat', 'calon', 'pengelola', 'negara', 'nanya', 'singkatann', 'miriss']","['isinya', 'buzzer', 'bela', 'saja', 'cerdas', 'cermat', 'calon', 'pengelola', 'negara', 'nanya', 'singkatann', 'miriss']",isinya buzzer bela  cerdas cermat calon pengelola negara nanya singkatann miriss,negative
